,Repository Name,Description,Stars,Programming Language,Other Language,URL
0,shadowsocksr-csharp,,836,C#,"{'C#': 99.98, 'Shell': 0.02}",https://github.com/shadowsocksr-rm/shadowsocksr-csharp
1,shadowsocksr-csharp,,4411,C#,"{'C#': 99.98, 'Shell': 0.02}",https://github.com/shadowsocksr-backup/shadowsocksr-csharp
2,csharplang,The official repo for the design of the C# programming language,6683,C#,{'C#': 100.0},https://github.com/dotnet/csharplang
3,csharp,Work In Progress,492,C#,"{'C#': 99.92, 'Shell': 0.07, 'Batchfile': 0.01}",https://github.com/kubernetes-client/csharp
4,csharp,Exercism exercises in C#.,167,C#,"{'C#': 98.26, 'PowerShell': 1.56, 'Shell': 0.1, 'Liquid': 0.08}",https://github.com/exercism/csharp
5,Entitas-CSharp,Entitas is a super fast Entity Component System (ECS) Framework specifically made for C# and Unity,4912,C#,"{'C#': 99.2, 'Shell': 0.8}",https://github.com/sschmid/Entitas-CSharp
6,CSharpGuidelines,"A set of coding guidelines for C# 5.0, C# 6.0 and C# 7.0, design principles and layout rules for improving the overall quality of your code development. ",566,HTML,"{'HTML': 45.13, 'JavaScript': 28.22, 'CSS': 16.32, 'PowerShell': 8.74, 'Ruby': 1.47, 'Batchfile': 0.11}",https://github.com/dennisdoomen/CSharpGuidelines
7,mongo-csharp-driver,.NET Driver for MongoDB,2573,C#,"{'C#': 97.95, 'Visual Basic .NET': 1.76, 'Shell': 0.11, 'Python': 0.05, 'Perl': 0.05, 'PowerShell': 0.05, 'JavaScript': 0.04, 'Makefile': 0.0}",https://github.com/mongodb/mongo-csharp-driver
8,csharp,,161,C#,"{'C#': 99.8, 'Objective-C': 0.11, 'C++': 0.09, 'Shell': 0.0}",https://github.com/micros-uz/csharp
9,CSharpGL,:green_apple:Object Oriented OpenGL in C#.,454,C#,"{'C#': 92.29, 'C': 4.8, 'Smalltalk': 2.48, 'C++': 0.37, 'GLSL': 0.07, 'Batchfile': 0.0}",https://github.com/bitzhuwei/CSharpGL
10,CSharpFunctionalExtensions,Functional extensions for C#,1024,C#,"{'C#': 99.76, 'Dockerfile': 0.24}",https://github.com/vkhorikov/CSharpFunctionalExtensions
11,sendgrid-csharp,"The Official Twilio SendGrid Led, Community Driven C#, .NetStandard, .NetCore API Library",834,C#,"{'C#': 96.04, 'JavaScript': 2.01, 'HTML': 0.99, 'ASP.NET': 0.57, 'CSS': 0.2, 'Dockerfile': 0.1, 'Makefile': 0.09}",https://github.com/sendgrid/sendgrid-csharp
12,FuelSDK-CSharp,FuelSDK-CSharp,43,C#,"{'C#': 99.95, 'Batchfile': 0.05}",https://github.com/salesforce-marketingcloud/FuelSDK-CSharp
13,MessagePack-CSharp,"Extremely Fast MessagePack Serializer for C#(.NET, .NET Core, Unity, Xamarin). / msgpack.org[C#]",3209,C#,"{'C#': 98.72, 'PowerShell': 1.08, 'Batchfile': 0.1, 'Shell': 0.1}",https://github.com/neuecc/MessagePack-CSharp
14,CSharpVerbalExpressions,,1070,C#,{'C#': 100.0},https://github.com/VerbalExpressions/CSharpVerbalExpressions
15,agile-tickets-csharp,csharp version,34,JavaScript,"{'JavaScript': 96.41, 'C#': 3.58, 'ASP': 0.01}",https://github.com/caelum/agile-tickets-csharp
16,bc-csharp,Bouncy Castle C# Distribution (Mirror),844,C#,"{'C#': 99.95, 'HTML': 0.05}",https://github.com/bcgit/bc-csharp
17,PowerBI-CSharp,Welcome to the .NET developer community for Power BI. Here you will find resources for the .NET SDKs for Power BI Embedded V2.0.0,451,C#,"{'C#': 99.74, 'Batchfile': 0.13, 'PowerShell': 0.13}",https://github.com/microsoft/PowerBI-CSharp
18,CSharpScripts,Collection of C# scripts,256,C#,{'C#': 100.0},https://github.com/Arno0x/CSharpScripts
19,CSharp-GradeBookApplication,Project to add features to an existing C Sharp Grade Book Application.,27,C#,"{'C#': 99.75, 'Dockerfile': 0.25}",https://github.com/pluralsight-projects/CSharp-GradeBookApplication
20,facebook-csharp-sdk,Facebook SDK for .NET,851,C#,"{'C#': 97.45, 'JavaScript': 2.52, 'Batchfile': 0.03}",https://github.com/facebook-csharp-sdk/facebook-csharp-sdk
21,CSharpClient-for-Kafka,.Net implementation of the Apache Kafka Protocol that provides basic functionality through Producer/Consumer classes. The project also offers balanced consumer implementation.,455,C#,{'C#': 100.0},https://github.com/microsoft/CSharpClient-for-Kafka
22,CSharp,C# : Test-Driven Learning,148,C#,{'C#': 100.0},https://github.com/MartinChavez/CSharp
23,my-Little-Ransomware,easy ransomware module base on csharp.,107,C#,{'C#': 100.0},https://github.com/aaaddress1/my-Little-Ransomware
24,twilio-csharp,Twilio C#/.NET Helper Library for .NET Framework 3.5+ and supported .NET Core versions,541,C#,"{'C#': 99.99, 'Dockerfile': 0.01, 'Makefile': 0.01}",https://github.com/twilio/twilio-csharp
25,mongodb-csharp,A driver written in c# to connect to the MongoDB document oriented database.,575,C#,"{'C#': 99.66, 'Visual Basic': 0.34}",https://github.com/samus/mongodb-csharp
26,CSharpBP-Basics,"Materials for the ""C# Best Practices: Improving on the Basics"" course",102,C#,{'C#': 100.0},https://github.com/DeborahK/CSharpBP-Basics
27,azure-iot-sdk-csharp,A C# SDK for connecting devices to Microsoft Azure IoT services,344,C#,"{'C#': 98.44, 'PowerShell': 1.44, 'Shell': 0.08, 'Batchfile': 0.04}",https://github.com/Azure/azure-iot-sdk-csharp
28,sdk-csharp,CSharp SDK for CloudEvents,92,C#,{'C#': 100.0},https://github.com/cloudevents/sdk-csharp
29,csharp-driver,DataStax C# Driver for Apache Cassandra,475,C#,"{'C#': 99.64, 'XSLT': 0.23, 'PowerShell': 0.13, 'Shell': 0.0, 'Batchfile': 0.0}",https://github.com/datastax/csharp-driver
